Time_hr,Target_Q,Actual_Q,WHP,FLP,BHP,Choke_Position
0,100.0,99.81002928262416,260.34183203826694,183.67199785187327,3080.1680313054803,34.0
1,100.0,99.73893822296485,260.72919071125443,184.3439253798245,3080.64864866959,34.0
2,100.0,100.06665395965571,261.0790509474882,183.54134172429167,3081.4686205826383,34.0
3,100.0,99.90067639298019,260.70415407964845,183.84677846397398,3079.683589584375,34.0
4,100.0,100.12686139524898,260.3558154010169,184.54376407190134,3080.2609850923427,34.0
5,100.0,100.0053248427176,259.6651699037962,184.4948810617612,3081.7256659254526,34.0
6,100.0,100.507579834586,260.4929629441028,183.58571101879238,3080.9591581930135,34.0
7,100.0,99.97359912854368,259.9451651768495,183.81406235217895,3080.7286499105767,34.0
8,100.0,100.16542768506024,259.9920735093491,183.8766297733044,3081.1674528381636,34.0
9,100.0,99.9982516972959,260.0765793986425,183.94704352866106,3081.435251922195,34.0
10,100.0,99.97897874957275,259.85270355973506,183.82989400387805,3080.784215193578,34.0
11,100.0,100.05917182355137,261.2427370968144,183.4284950141151,3080.805168968847,34.0
12,100.0,100.16964095588853,260.849108594411,183.44611687127022,3080.5840940469993,34.0
13,100.0,100.01382509822501,260.15992103206503,183.64274647426052,3080.8088101188596,34.0
14,100.0,99.9549855267669,259.8522716749695,184.19699880757022,3079.4075375286825,34.0
15,100.0,99.66727285029725,260.456406631362,184.12659325654087,3081.9335263649714,34.0
16,100.0,99.99875096172305,260.21956892295407,183.82444228985372,3080.9422979271053,34.0
17,100.0,99.99698710779727,260.5474703884969,184.0863234584517,3080.0419227589755,34.0
18,100.0,99.8407905854159,260.6812734241613,183.72274791865146,3080.692313837291,34.0
19,100.0,100.00793934914456,259.87829573180915,184.23196891070788,3081.184609787917,34.0
20,145.0,109.49123811378318,255.05588894347778,180.0720208496606,3069.943126772594,39.0
21,145.0,118.45475439736478,250.95304528529581,176.31198853754893,3052.7711988901697,44.0
22,145.0,126.71822096997198,246.04070008290574,172.92271390425907,3034.324811923537,49.0
23,145.0,134.6976924815788,239.97974288026637,168.85006053390404,3008.0124725834817,54.0
24,145.0,141.70645338796282,233.88721217955845,164.82303213724666,2977.242638912206,59.0
25,145.0,144.8874766406382,229.98745039826622,162.5372750303215,2964.4541904407206,61.2
26,145.0,144.83541005076466,230.12678976327393,163.02421183598844,2963.991253845519,61.2
27,145.0,144.90408822126153,230.91623718784697,163.054345944573,2961.741134688872,61.2
28,145.0,144.59191808584976,231.56067174309987,162.76010604917053,2963.1159540986155,61.2
29,145.0,144.89455989308638,229.9884060342501,162.63598582259849,2963.226016068002,61.2
30,145.0,144.80065348331058,230.99571357200145,162.80881917873867,2964.0600983164027,61.2
31,145.0,144.97793624744386,230.4504869511991,162.77566662138977,2963.090432226318,61.2
32,145.0,145.34842275991045,230.91727237406195,163.10359504263056,2964.3135603481837,61.2
33,145.0,144.89255400649563,230.4291319610777,162.94778911652844,2963.0342625856233,61.2
34,145.0,145.04713784093136,230.62041018078455,163.2243383502808,2962.7724449184893,61.2
35,145.0,144.96350887244296,230.2887510857863,163.0701389239647,2963.7457503913806,61.2
36,145.0,144.6790376436657,230.05637616600131,163.00386185461053,2960.5343888059965,61.2
37,145.0,144.979391756067,231.02030774699253,162.98577003816595,2963.768591378257,61.2
38,145.0,144.75502163973428,230.55598284522603,163.27307969968862,2964.1114990419865,61.2
39,145.0,144.84401708818635,230.7113398670792,162.4786502284698,2965.2162621216125,61.2
40,145.0,144.8214720087139,230.48824645148403,162.106145098441,2964.532015015991,61.2
41,145.0,144.97630387325316,230.85425215374207,163.25782459094995,2963.790539494771,61.2
42,145.0,145.20341396466605,230.77783956330214,162.9554168109325,2962.021996550247,61.2
43,145.0,145.10060870994263,231.35852251576085,162.82487840437875,2963.598431736154,61.2
44,145.0,145.11454892255995,230.53271100831844,162.51376800176115,2963.6029770323685,61.2
45,145.0,145.17769569604596,231.03238294044652,163.42655685889153,2963.121719752816,61.2
46,145.0,144.48048964728534,229.78411485132833,162.60753397632104,2964.5136481887284,61.2
47,145.0,145.53171116054278,231.44478238369882,163.56805804088853,2963.5761235986947,61.2
48,145.0,144.95792286058546,231.2256120748963,163.09428004099868,2963.0912417086242,61.2
49,145.0,145.2795426392694,230.83733477281478,162.41781724878837,2964.7354016985946,61.2
